"Sugar"	"Category"	"Median_Transporter_Count"
"1"	"arabinose_transporters"	"MRSA"	22
"2"	"arabinose_transporters"	"MSSA"	22
"3"	"galactose_transporters"	"MRSA"	2
"4"	"galactose_transporters"	"MSSA"	2
"5"	"glucose_transporters"	"MRSA"	19
"6"	"glucose_transporters"	"MSSA"	19
"7"	"lactose_transporters"	"MRSA"	5
"8"	"lactose_transporters"	"MSSA"	5
"9"	"mannitol_transporters"	"MRSA"	44
"10"	"mannitol_transporters"	"MSSA"	43
"11"	"mannose_transporters"	"MRSA"	8
"12"	"mannose_transporters"	"MSSA"	8
"13"	"polysia_transporters"	"MRSA"	3
"14"	"polysia_transporters"	"MSSA"	3
"15"	"ribose_transporters"	"MRSA"	24
"16"	"ribose_transporters"	"MSSA"	23
"17"	"sia_transporters"	"MRSA"	5
"18"	"sia_transporters"	"MSSA"	5
"19"	"sucrose_transporters"	"MRSA"	3
"20"	"sucrose_transporters"	"MSSA"	3
