arabinose_transporters	galactose_transporters	glucose_transporters	lactose_transporters	mannitol_transporters	mannose_transporters	polysia_transporters	sia_transporters	ribose_transporters	sucrose_transporters
P0AE24	P0AEP1	A0A0H2VG78	Q48624	P00550	P37349	P42954	P41036	P04983	P0DMV3
P0AAF3	A0A024HES4	P0A6P9	Q7WTB2	Q3J1R2	P69797	P32016	Q5E733	P0AGI1	A0A069T037
P96710	A0A031GTM4	P0AA78	A0A060VD99	A0A086TW24	P69801	P43110	A0A061KPL1	P32721	A0A089HM40
A0B3Z7	A0A085F937	P50456	A0A066UQT8	A0A0C3N6P7	P69805	P57013	A0A076LTG5	A0B297	A0A089HXQ6
P0AAF4	A0A098LCF0	P69786	A0A087FLA4	A0A1B3NJP0	A0A0H3H456	Q03SI5	A0A078LL82	A0K6Q0	A0A089I0D2
P0AAF5	A0A099KD92	P21906	A0A0D7LDZ0	A0A1B9PJP0	D4GL26	Q2G2L1	A0A084ZS90	A0KE25	A0A089NRD4
P45598	A0A0A1W5X5	A0A017RX40	A0A0G9F7B9	A0A1Q8F969	O07563	Q2YSU3	A0A085G1X8	P36947	A0A0A2TVK2
Q0BIE1	A0A0A6TT89	A0A031IGL3	A0A0J3VF43	A0A6S5CKK4	P0DN88	Q5WCL2	A0A085NZZ7	P44735	A0A0B4DSJ2
Q0WER5	A0A0A7PGE1	A0A064A173	A0A0J4QGR9	A0A6S5X034	A0A022KXM8	Q630Y3	A0A085U2V0	Q0B775	A0A0C2E6J0
Q1BJW2	A0A0B7HNS5	A0A066QPZ0	A0A0M2G8T1	A0A6S5YXB4	A0A076JFG6	Q720Z5	A0A090NKN0	Q0B7X0	A0A0D7L247
Q1JUP7	A0A0B7IGY3	A0A066RZY6	A0A0X8H0R5	A0A7G1L703	A0A076NTI1	Q81K31	A0A097R659	Q0BG60	A0A0D7L4N4
Q1RAN8	A0A0C4WXP2	A0A066USV1	A0A124IPF3	Q9AI22	A0A081QIS2	Q831L8	A0A0A6ZZ26	Q0BGD7	A0A0F7CJ18
Q2T4S8	A0A0H2X8Y8	A0A069EVJ6	A0A144U1E2	A0A011U4R9	A0A087DR45	Q88ZH4	A0A0B1R2J0	Q0TPX5	A0A0G4JR13
Q39BJ8	A0A0K0GKR2	A0A069T8W6	A0A162AJS6	A0A022L797	A0A089KBG3	Q8Y843	A0A0C5EKU3	Q13FD9	A0A0H3CLM4
Q3JNJ9	A0A0K2XS37	A0A075JS02	A0A1E5HBD0	A0A061STC2	A0A094XXX5	Q9CH26	A0A0D7LD85	Q1BGC0	A0A0H3HA07
Q63QQ7	A0A0K2ZG48	A0A084IYR9	A0A1E5L159	A0A061YM16	A0A0A0WVQ8	A0A059MZ87	A0A0D8WEX7	Q1BQ82	A0A0J2I8B8
Q66AF5	A0A0K3A3E6	A0A084J3J8	A0A1V8W6Q6	A0A062VTX6	A0A0A7I6N7	A0A060M085	A0A0E0XTJ3	Q1BX03	A0A0J4W474
Q6D4W8	A0A0K3ABC2	A0A084JJJ2	A0A223K4G7	A0A068SQD7	A0A0B3VZL1	A0A062XQK6	A0A0E1T1E7	Q1MAA2	A0A0N9N0B9
Q882I8	A0A0P0FPY4	A0A084TC24	A0A3S4I0P5	A0A068SUJ0	A0A0B5QAZ1	A0A084AEK6	A0A0E2L2V2	Q1MHS1	A0A0P0DPU8
Q92W56	A0A0S2DB12	A0A085CB01	A0A4R5NEP1	A0A068T2U8	A0A0C1HJL3	A0A085JHC2	A0A0F6B7C8	Q21TR5	A0A0S4TXK4
Q9S472	A0A0S2FWZ1	A0A090QUF8	A0A6N7S633	A0A068T3M5	A0A0C1HKH3	A0A087BHU7	A0A0F6RGH4	Q28P50	A0A0S9QN27
A0A069PR92	A0A0U5EXR4	A0A093S9A3	A0A9P1KUH4	A0A068TAM5	A0A0G9GMX8	A0A087E3D1	A0A0F7JAU9	Q2K353	A0A0T9LHB7
A0A086D5M9	A0A0U5F121	A0A094SSC9	A0A013XU97	A0A069PYT4	A0A0J3YAP3	A0A090YSQ8	A0A0G9FMJ1	Q2K9A3	A0A134DL79
A0A087L3E3	A0A0U5FC47	A0A095XAY5	A0A014NWR7	A0A069SXK2	A0A0K1F8C1	A0A091BZU0	A0A0H0RAG5	Q2KAW9	A0A171AH56
A0A089PL56	A0A139KEE3	A0A095XXW6	A0A022L3P1	A0A071LNH1	A0A0K2E476	A0A0B5RU12	A0A0H2YG14	Q2SMT0	A0A172ZF10
A0A093T324	A0A158S2A5	A0A096KQ66	A0A022MBZ0	A0A072IVK8	A0A0K2E8T9	A0A0B7IYH5	A0A0H2Z3D5	Q2SVU4	A0A177KF21
A0A094SJG1	A0A158S670	A0A096LHG6	A0A024YMD9	A0A072ZNZ7	A0A0K9GXP2	A0A0D5M4V1	A0A0H3DS54	Q399X3	A0A179EV35
A0A095T144	A0A174Q6P4	A0A099LSR0	A0A037ZLI7	A0A078LPR0	A0A0M2SQS6	A0A0E1R5W6	A0A0H3EP99	Q39HA1	A0A192CAW8
