##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	taxid	species_taxid	organism_name	infraspecific_name	version_status	assembly_level	ftp_path	genome_size	genome_size_ungapped	gc_percent	total_gene_count	protein_coding_gene_count
GCA_002442975.1	PRJNA382289	SAMN06703161	1280	1280	Staphylococcus aureus	strain=HZW450	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/975/GCA_002442975.1_ASM244297v1	2831958	2831958	33.000000	2930	2731
GCA_002633825.1	PRJNA494566	SAMN03763946	1280	1280	Staphylococcus aureus	strain=CFSAN007851	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/825/GCA_002633825.1_ASM263382v1	2769475	2769475	33.000000	2788	2662
GCA_002633845.1	PRJNA494566	SAMN03763978	1280	1280	Staphylococcus aureus	strain=CFSAN007883	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/845/GCA_002633845.1_ASM263384v1	2758960	2758960	33.000000	2755	2612
GCA_001717725.2	PRJNA321054	SAMN04964640	1280	1280	Staphylococcus aureus	strain=1625.C01	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/725/GCA_001717725.2_ASM171772v2	2904982	2904982	33.000000	3055	2885
GCA_002803885.1	PRJNA418239	SAMN08024196	1280	1280	Staphylococcus aureus	strain=55-99-44	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/803/885/GCA_002803885.1_ASM280388v1	2784606	2784606	33.000000	2836	2646
GCA_002850395.1	PRJNA376656	SAMN06702660	1280	1280	Staphylococcus aureus	strain=K17	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/395/GCA_002850395.1_ASM285039v1	2729453	2729453	32.500000	2859	2677
GCA_002850415.1	PRJNA376656	SAMN06702662	1280	1280	Staphylococcus aureus	strain=K18	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/415/GCA_002850415.1_ASM285041v1	2731897	2731897	32.500000	2862	2689
GCA_002895385.1	PRJNA357000	SAMN06130958	1280	1280	Staphylococcus aureus	strain=MRSA107	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/385/GCA_002895385.1_ASM289538v1	3095697	3095697	33.000000	3300	3113
GCA_001019435.2	PRJNA231221	SAMN03255464	1280	1280	Staphylococcus aureus	strain=NRS1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/435/GCA_001019435.2_ASM101943v2	2878504	2878504	33.000000	3009	2839
GCA_001018775.2	PRJNA231221	SAMN03255453	1280	1280	Staphylococcus aureus	strain=NRS149	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/018/775/GCA_001018775.2_ASM101877v2	2764708	2764708	33.000000	2868	2717
