"Genome"	"Sugar"	"Category"	"Transporter_Count"
"GCA_000009665.1_ASM966v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000009665.1_ASM966v1"	"galactose_transporters"	"MRSA"	2
"GCA_000009665.1_ASM966v1"	"glucose_transporters"	"MRSA"	20
"GCA_000009665.1_ASM966v1"	"lactose_transporters"	"MRSA"	6
"GCA_000009665.1_ASM966v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000009665.1_ASM966v1"	"mannose_transporters"	"MRSA"	8
"GCA_000009665.1_ASM966v1"	"polysia_transporters"	"MRSA"	3
"GCA_000009665.1_ASM966v1"	"ribose_transporters"	"MRSA"	23
"GCA_000009665.1_ASM966v1"	"sia_transporters"	"MRSA"	6
"GCA_000009665.1_ASM966v1"	"sucrose_transporters"	"MRSA"	3
"GCA_000010465.1_ASM1046v1"	"arabinose_transporters"	"MSSA"	21
"GCA_000010465.1_ASM1046v1"	"galactose_transporters"	"MSSA"	2
"GCA_000010465.1_ASM1046v1"	"glucose_transporters"	"MSSA"	19
"GCA_000010465.1_ASM1046v1"	"lactose_transporters"	"MSSA"	4
"GCA_000010465.1_ASM1046v1"	"mannitol_transporters"	"MSSA"	42
"GCA_000010465.1_ASM1046v1"	"mannose_transporters"	"MSSA"	8
"GCA_000010465.1_ASM1046v1"	"polysia_transporters"	"MSSA"	3
"GCA_000010465.1_ASM1046v1"	"ribose_transporters"	"MSSA"	24
"GCA_000010465.1_ASM1046v1"	"sia_transporters"	"MSSA"	5
"GCA_000010465.1_ASM1046v1"	"sucrose_transporters"	"MSSA"	3
"GCA_000011265.1_ASM1126v1"	"arabinose_transporters"	"MRSA"	22
"GCA_000011265.1_ASM1126v1"	"galactose_transporters"	"MRSA"	2
"GCA_000011265.1_ASM1126v1"	"glucose_transporters"	"MRSA"	19
"GCA_000011265.1_ASM1126v1"	"lactose_transporters"	"MRSA"	4
"GCA_000011265.1_ASM1126v1"	"mannitol_transporters"	"MRSA"	44
"GCA_000011265.1_ASM1126v1"	"mannose_transporters"	"MRSA"	8
"GCA_000011265.1_ASM1126v1"	"polysia_transporters"	"MRSA"	3
"GCA_000011265.1_ASM1126v1"	"ribose_transporters"	"MRSA"	24
"GCA_000011265.1_ASM1126v1"	"sia_transporters"	"MRSA"	5
"GCA_000011265.1_ASM1126v1"	"sucrose_transporters"	"MRSA"	3
