Genome	Total_ARGs	blaZ	mecA	mecC	Category	Total_Transporters	Max_Bitscore	Min_Bitscore	Mean_Bitscore	Median_Bitscore	Max_E_Value	Min_E_Value	Mean_E_Value	Median_E_Value	Max_Identity	Min_Identity	Mean_Identity	Median_Identity	Max_Length	Min_Length	Mean_Length	Median_Length
GCA_000009665.1_ASM966v1	17	0	1	0	MRSA	137	1445	50.1	217.194160583942	113	2.98e-06	0	2.56525170247539e-08	7.12e-30	100	25.137	39.2850583941606	30.962	728	70	301.299270072993	240
GCA_000010465.1_ASM1046v1	9	0	0	0	MSSA	131	1451	51.2	223.319083969466	114	5.76e-07	0	5.63542369007633e-09	8.58e-30	100	25.235	39.8297709923664	31.25	710	70	305.641221374046	240
GCA_000011265.1_ASM1126v1	9	0	1	0	MRSA	134	1453	50.1	220.276119402985	113.5	2.64e-06	0	2.73624694405114e-08	6.075e-30	100	25.137	39.6026567164179	31.3345	728	70	305.701492537313	242
GCA_000011505.1_ASM1150v1	15	1	1	0	MRSA	142	1436	50.1	211.887323943662	111.5	2.91e-06	0	2.32588940132099e-08	8.29e-29	100	25.052	38.9544014084507	30.8725	710	70	295.535211267606	238.5
GCA_000011525.1_ASM1152v1	10	1	0	0	MRSA	135	1453	50.1	219.494814814815	114	2.64e-06	0	2.71597929635972e-08	7.12e-30	100	25.14	39.5699037037037	31.336	728	70	304.607407407407	240
GCA_000013425.1_ASM1342v1	9	0	0	0	MSSA	132	1448	50.1	222.125757575758	113.5	2.71e-06	0	2.59881853306851e-08	6.665e-30	100	25.137	39.9338257575758	31.2915	710	69	303.924242424242	240.5
GCA_000016805.1_ASM1680v1	15	1	1	0	MRSA	136	1445	50.1	218.007352941176	113	2.98e-06	0	2.7375403183044e-08	9.31e-30	100	25.137	39.4063235294118	31.195	728	70	302.845588235294	242
GCA_000017085.1_ASM1708v1	15	1	1	0	MRSA	137	1452	51.2	217.183941605839	113	5.76e-07	0	7.02580809171127e-09	4.11e-29	100	25.235	39.4230072992701	31.25	710	70	300.970802919708	240
GCA_000027045.1_ASM2704v1	20	1	1	0	MRSA	133	1451	50.8	222.477443609023	116	6.24e-07	0	5.9688718853375e-09	7.14e-31	100	25.235	39.6833909774436	31.321	710	70	305.631578947368	241
GCA_000159535.2_ASM15953v2	11	1	1	0	MRSA	137	1433	50.1	217.42700729927	112	2.91e-06	0	2.66054588408342e-08	6.38e-29	100	25.052	39.2763211678832	30.962	728	70	302.956204379562	240
GCA_000160335.2_ASM16033v2	10	1	0	0	MRSA	137	1436	50.1	217.603649635037	112	2.62e-06	0	2.16958589890231e-08	3.7e-29	100	25.052	39.179905109489	30.909	710	70	304.109489051095	240
GCA_000189455.3_ASM18945v3	8	0	0	0	MSSA	139	1439	50.1	214.951798561151	112	2.86e-06	0	3.29618676516882e-08	2.18e-29	100	25.141	39.728654676259	31.333	727	70	296.611510791367	239
GCA_000204665.1_ASM20466v1	15	1	1	0	MRSA	131	1451	52.4	221.477099236641	115	2.44e-07	0	3.04244158885555e-09	4.75e-30	100	25.235	39.9614122137405	31.25	710	70	300.717557251908	240
GCA_000210315.1_ASM21031v1	9	0	0	0	MSSA	139	1437	50.1	213.697122302158	112	2.67e-06	0	3.87430656678885e-08	8.87e-29	100	25.275	39.3161870503597	31.068	728	70	291.94964028777	238
GCA_000237125.3_ASM23712v3	10	0	1	0	MRSA	131	1441	50.4	223.974045801527	118	2.02e-06	0	2.08689551660599e-08	1.43e-30	100	25.141	39.7189160305344	31.287	727	70	308.404580152672	243
GCA_000245495.1_ASM24549v1	10	0	0	0	MSSA	131	1451	50.1	223.241984732824	114	2.71e-06	0	2.61888585151087e-08	4.75e-30	100	25.235	39.7964580152672	31.25	710	70	306.030534351145	241
GCA_000253135.1_ASM25313v1	12	1	0	0	MRSA	135	1445	50.1	219.18	113	2.98e-06	0	2.75781814653018e-08	7.12e-30	100	25.137	39.4234	31.14	728	70	303.844444444444	243
GCA_000382965.1_ASM38296v1	13	1	1	0	MRSA	135	1445	50.1	219.571851851852	114	2.98e-06	0	2.72929957383105e-08	5.03e-30	100	25.137	39.3999481481481	31.14	728	70	306.007407407407	249
GCA_000382985.1_ASM38298v1	13	0	1	0	MRSA	134	1445	50.1	220.180597014925	113.5	2.98e-06	0	2.74966748109845e-08	6.075e-30	100	25.137	39.4994552238806	31.195	728	70	305.141791044776	246
GCA_000412775.1_ASM41277v1	14	1	1	0	MRSA	139	1424	50.1	213.834532374101	112	2.71e-06	0	2.48666542025409e-08	6.38e-29	100	25.065	38.9578920863309	30.943	728	70	298.237410071942	240
GCA_000418345.1_ASM41834v1	20	1	1	0	MRSA	132	1451	50.8	221.495454545455	113	6.24e-07	0	6.07198363551384e-09	6.665e-30	100	25.235	39.8241287878788	31.2915	710	70	301.401515151515	240
GCA_000452385.2_ASM45238v2	8	0	0	0	MSSA	133	1442	50.4	227.302255639098	112	2.02e-06	0	1.63307793624679e-08	1.72e-29	100	25.141	41.0089398496241	31.472	728	50	299.781954887218	240
GCA_000463055.1_ASM46305v1	13	1	1	0	MRSA	130	1451	50.1	224.055384615385	115	3.06e-06	0	3.04390001277288e-08	2.26e-30	100	25.141	39.8868461538462	31.2765	710	70	306.723076923077	242
GCA_000470845.1_ASM47084v1	9	0	1	0	MRSA	130	1441	50.4	224.086153846154	115.5	2.02e-06	0	2.10294855904142e-08	3.005e-30	100	25.141	39.7775846153846	31.1245	727	70	307.707692307692	243
GCA_000485885.1_ASM48588v1	20	1	1	0	MRSA	134	1451	50.8	220.847014925373	115.5	6.24e-07	0	5.92432800910363e-09	7.39e-31	100	25.235	39.6451641791045	31.327	710	70	303.089552238806	240
GCA_000568455.1_ASM56845v1	15	1	1	0	MRSA	137	1452	51.2	217.169343065693	113	5.76e-07	0	7.02580809171127e-09	4.11e-29	100	25.235	39.4210072992701	31.25	710	70	300.970802919708	240
GCA_000695215.1_ASM69521v1	10	1	1	0	MRSA	136	1427	50.1	216.958088235294	112	9.6e-07	0	1.28800955000368e-08	6.24e-29	100	25.083	39.2460294117647	31.056	710	70	301.992647058824	241.5
GCA_000695875.1_ASM69587v1	10	0	1	0	MRSA	135	1452	51.2	219.200740740741	113	5.76e-07	0	5.47063487825514e-09	1.15e-29	100	25.235	39.6093333333333	31.333	710	70	302.348148148148	240
GCA_000709475.1_ASM70947v1	19	1	1	0	MRSA	134	1451	52.4	218.468656716418	112.5	2.44e-07	0	3.07643344878872e-09	3.905e-29	100	25.235	39.8587611940299	31.5905	710	70	295.858208955224	239.5
GCA_000737615.1_ASM73761v1	12	0	1	0	MRSA	130	1441	50.4	223.72	115.5	2.02e-06	0	2.10017932826077e-08	3.005e-30	100	25.141	39.8130923076923	31.2685	727	70	306.461538461538	242
GCA_000756205.1_ASM75620v1	9	0	0	0	MSSA	135	1436	50.1	219.807407407407	113	2.91e-06	0	2.76363903620881e-08	1.49e-29	100	25.052	39.348437037037	30.962	728	70	304.718518518519	240
